"Grantor","Grantee","Zip Code","Fiscal Year","Amount","Description","Category","Fiscal Period","Date"
"Department of Human Resources/Family Investment Administration & Office of Grants Management","CATHOLIC CHARITIES OF THE ARCHDIOCESE OF WASHINGTON","20001","2016","78,742.16","Funds are used to provide Food Supplement Outreach Programs that provides monthly benefits to eligible low-income individuals and families to help them purchase food, provide nutritional education, pre-screening, application assistance and follow-up.","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Commerce - Maryland Cyber Investment Fund","Strajillion Inc","21030","2015","100,000","Commercialization Investment","Loan","1","2015 Jun 30 12:00:00 AM"
"Department of Agriculture/MARKETING AND AGRICULTURE DEVELOPMENT","FINANCIAL SERVICES MGT. CORP","56253","2012","596,608","FARMER'S MARKET COUPON PROGRAM","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Natural Resources/Rural Legacy Program","Land Preservation Trust","21031","2016","32,216.25","Cole Family Trust, Donald Farm Easement","Grant","1","2016 Jun 30 12:00:00 AM"
"Maryland Energy Administration/Combined Heat and Power Energy Efficiency Grant Program","Adventist HealthCare Shady Grove CHP Project","20850","2016","494,320","Energy efficiency grants for audits/upgrades in  the commercial and industrial sector","Grant","1","2016 Jun 30 12:00:00 AM"
"Maryland Department of Education/FOOD SERVICES PROGRAM","FREDERICK COMMUNITY ACTION AGENCY","21701-5527","2013","63,050","FOOD SERVICE - SUMMER","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Labor, Licensing and Regulation/Unemployment Insurance","Affiliated Computer Services","75320 1322","2012","6,049,461","To provide services to continue the ICON data processing and data exchange systems supporting the data processing and data exchange needs of the 53 State Work Force Agencies in accordance with the requirements.","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Ellicott City Catastrophic Event","Reyes Jewelry Exchange","21043","2017","50,000","Ellicott City Catastrophic Event","Loan","1","2017 Jun 30 12:00:00 AM"
"Department of Agriculture - Conservation Grants","P Thomas Mason","21620","2015","87,059.28","COVER CROP, N. MGT., MANURE TRANS.","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Agriculture - Conservation Grants","Mark S Callahan","21629 - 1855","2015","104,801","NUTRIENT MANAGEMENT PLANS","Grant","1","2015 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/MD Economic Development Assistance Authority & Fund-MEDAAF","SOCIAL & SCIENTIFIC SYSTEMS INC","20910","2014","650,000","MD Economic Development Assistance Authority & Fund","Loan","1","2014 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Maryland Community Health Resources Commission","Lower Shore Clinic","21804","2013","65,000","Access to behavioral health services for low income and uninsured patients in Wicomico County","Grant","1","2013 Jun 30 12:00:00 AM"
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Mid-Shore Council on Family Violence","21601","2016","260,931.26","Family Violence Prevention and Services Act Formula Grants","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Transportation/WMATA Operating","METRO WASH COUNCIL OF GOVERNMENTS","20002-4290","2010","150,000","Match for federal appropriation for the MPO requirement","Grant","1","2010 Jun 30 12:00:00 AM"
"Maryland Department of Education/TRANSITIONAL EDUCATION FUNDING","THE LEARNING CENTER","21740","2014","99,481","HOYER","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Prevention and Health Promotion Administration","Johns Hopkins University","21205","2013","590,753","Medical Genetics, Systems Development, Hematology","Grant","1","2013 Jun 30 12:00:00 AM"
"Maryland Energy Administration - AEP - Fast EV Charging Stations","Royal Farms","21220","2015","600,892.8","Electric Vehicle Charging Stations","Grant","1","2015 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention","Women's Law Center of Maryland, Inc.","21204","2017","102,882","VOCA Victim Assistance Formula Grant Program","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Human Resources/Office of Grants Management & Social Services Administration","ARC OF BALTIMORE","21212","2014","328,287","Funds are for Respite Care Services which provide a period of rest to families who provide primary care to family members with disabilities.","Grant","1","2014 Jun 30 12:00:00 AM"
"Maryland Energy Administration/MEEHA - Multifamily","Guilford Gardens","21201-4002","2012","259,315","Building Retrofits","Grant","1","2012 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","Family Crisis Resource Center, Inc.","21502","2018","26,997.75","Sexual Assault Services Program","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Prevention and Disease Control","Chase Brexton Health Services, Inc.","21201","2012","100,000","Cancer - Patient Reminder","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Maryland Affordable Housing Trust","HIP Services Inc","20874","2012","30,000","affordable Housing","Grant","1","2012 Jun 30 12:00:00 AM"
"Maryland Department of Education/CHILDREN AT RISK","MONTGOMERY HOUSING PARTNER INC","20902","2014","256,400","TWENTY FIRST CENTURY LEARNING","Grant","1","2014 Jun 30 12:00:00 AM"
"Maryland Department of Education/Food Services Program","WAY STATION INC CACFP","21705-3826","2012","7,204.67","CASH FOR COMMOD - CHILD CARE","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/MD Community Health Resources Commission","Choptank Community Health System","21629","2011","70,000","Dental","Grant","1","2011 Jun 30 12:00:00 AM"
"Maryland Energy Administration/C&I Deep Energy Retrofit Program","Bon Secours of Maryland","21223-1558","2014","200,000","Energy efficiency grants for audits/upgrades in the commercial and industrial sector","Grant","1","2014 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/Maryland Tourism Development Board","HAGERSTOWN/WASHINGTON COUNTY CVB","21740","2012","97,130","Maryland Tourism Board-General Grant","Grant","1","2012 Jun 30 12:00:00 AM"
"Maryland Department of Aging/VEIP","Washington County Commission on Aging","21740","2017","13,558","Vulnerable Elderly","Grant","1","2017 Jun 30 12:00:00 AM"
"Maryland Higher Education Commission/Aid to Non Public Institutions","Johns Hopkins University","21218","2012","16,594,230","Sellinger Formula Aid","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Agriculture/CONSERVATION GRANTS","J PARKER SMITH","21776","2016","171,043.04","COVER CROP","Grant","1","2016 Jun 30 12:00:00 AM"
"Maryland Department of Education/Food Services Program","ARC OF BALTIMORE","21212","2012","11,116.75","CASH FOR COMMOD - CHILD CARE","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Public Safety and Correctional Services/Deputy Secretary for Operations - Field Support Services","Community Mediation Maryland.","20912","2016","150,000","Provides reentry mediation services for offenders returning to the community.","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Housing and Community Development - OAG Counseling","HIP Services Inc","20782","2015","125,000","OAG Counseling","Grant","1","2015 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","Baltimore Child Abuse Center, Inc.","21218","2018","8,376.96","Survivors of Homicide Grant","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Housing and Community Development - Balt to Regional Neighborhood Initiative (BRNI)","Central Baltimore Partner","21229","2015","300,000","BRNI","Grant","1","2015 Jun 30 12:00:00 AM"
"Maryland State Department of Education - Innovative Programs","Family League of Baltimore City Inc","21218 - 5128","2015","595,143","HEALTHY FAMILIES","Grant","1","2015 Jun 30 12:00:00 AM"
"Military Department/MARYLAND MILITARY DEPT, MEMA","JOPPUBLIC ASSISTANCE MAGNOLIA VFC","21085","2013","387,668","VOLUNTEER CO. ASSISTANCE PROGRAM","Loan","1","2013 Jun 30 12:00:00 AM"
"Maryland Technology Commercialization Fund","WhiteBox Technologies Inc.","21231","2018","200,000.24","Commercialization Investment","Loan","1","2018 Jun 30 12:00:00 AM"
"Department of Agriculture/Rural Maryland Council Grant","FREDERICK INNOVATIVE TECHNOLOGY CENTER","21704","2017","77,528","Grants To Non-Gov Entities","Grant","1","2017 Jun 30 12:00:00 AM"
"Resource Conservation Operations","KENT SOIL AND WATER CONSERVATION DISTRICT","21620","2018","224,524","COVER CROP","Grant","1","2018 Jun 30 12:00:00 AM"
"Boards and Commissions/Governor's Office of Crime Control and Prevention","House of Ruth Maryland, Inc.","21218-1627","2011","25,965.55","Enhancing Victim Services","Grant","1","2011 Jun 30 12:00:00 AM"
"Life Science Investment Fund","xMD Diagnostics","21215","2018","200,000","Commercialization Investment","Loan","1","2018 Jun 30 12:00:00 AM"
"Maryland Highway Safety","Maryland State's Attorneys","21043-3476","2018","124,159.32","Provides prosecutorial direction/training to the judges and attorneys working on driving under the influence (DUI) and Drugged driving cases.","Grant","1","2018 Jun 30 12:00:00 AM"
"Chesapeake & Atlantic Coastal Bays Trust Fund","Gunpowder Valley Conservancy","21284","2018","71,618.44","Funds implementation of non-point source pollution reduction best management practices, including stormwater management, stream restoration, wetland creation, and tree planting activities.","Grant","1","2018 Jun 30 12:00:00 AM"
"Maryland State Department of Education/CHILDREN AT RISK","UNIVERSITY OF MARYLAND BALTIMORE","21201","2017","970,265","21st Century Community Learning Centers","Grant","1","2017 Jun 30 12:00:00 AM"
"Judiciary/Department of Family Administration","The Women's Law Center of Maryland, Inc.","21204","2014","58,600","Info & referrals for Pro Se Litigants","Grant","1","2014 Jun 30 12:00:00 AM"
"Boards and Commissions - AmeriCorps Formula","Experience Corps Baltimore City","20049","2015","50,473.69","AmeriCorps State Service funding","Grant","1","2015 Jun 30 12:00:00 AM"
"Resource Conservation Operations","HOWARD SOIL CONSERVATION DIST","21723","2018","137,813","RENT FOR STATE EMPLOYEES","Grant","1","2018 Jun 30 12:00:00 AM"
"Maryland Energy Administration/C&I Deep Energy Retrofit Program","Washington County Museum of Fine Arts","21741","2017","120,413","Implement energy conservation measures","Grant","1","2017 Jun 30 12:00:00 AM"
"Boards and Commissions - Governor's Office of Crime Control and Prevention","CASA Citizens Assisting and Sheltering the Abused, Inc.","21740","2015","79,532","Sexual Assault Rape Crisis","Grant","1","2015 Jun 30 12:00:00 AM"
"Maryland Technology Development Corporation/Maryland Technology Transfer & Commercialization Fund","Woofound, Inc.","21220","2013","75,000","Commercialization Investment","Loan","1","2013 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Family Health Services & Primary Care","MedChi","21201","2011","50,000","Maternal Mortality & Infant & Family Support","Grant","1","2011 Jun 30 12:00:00 AM"
"Maryland State Department of Education/CHILDREN'S CABINET INTERAGENCY FUND","ACS","75320-1322","2011","537,310","LMB ADMINISTRATION","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Agriculture/COVER CROP","PLEASANT VALLEY FARMS","20833","2014","115,956.77","Cover Crop Program Grant","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Human Resources/Office Of Grants Management","Turnaround, Inc.","21204","2011","642,885.92","Funds are used to provide food to soup kitchens and pantries,  provide services to victims of crime,  domestic violence,  rape and sexual assault, as well as provide  awareness and prevention about Sexual Assaults","Grant","1","2011 Jun 30 12:00:00 AM"
"Maryland Energy Administration/EE L&M Income Community Grants","Coalition to End Childhood Lead Poisoning grant","21224-4716","2011","190,865","EE upgrades","Grant","1","2011 Jun 30 12:00:00 AM"
"Boards and Commissions/Governor's Office of Crime Control and Prevention","Latin American Youth Center","20009","2009","65,421.14","Leaders Like Me","Grant","1","2009 Jun 30 12:00:00 AM"
"Department of Business and Economic Development/Maryland State Arts Council","WORCESTER COUNTY ARTS COUNCIL INC","21811","2011","82,023","Grants to Arts Organizations","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Maryland Community Health Resources Commission","Appalachian Parent Association, Inc.","21550","2013","50,000","DDA Infrastructure Services","Grant","1","2013 Jun 30 12:00:00 AM"
"Employment Advancement Right Now (EARN) MD","Npower, Inc.","21223","2018","150,000","Provides grants to help businesses cultivate a skilled workforce.","Grant","1","2018 Jun 30 12:00:00 AM"
"DIVISION OF REHABILITATION SERVICES - HEADQUARTERS","INDEPENDENCE NOW INC","20904","2018","201,529","COMPREHENSIVE SERVICES - INDEPENDENT LIVING","Grant","1","2018 Jun 30 12:00:00 AM"
"Judiciary/Department of Family Administration","House of Ruth Domestic Violence Legal Clinic","21218","2011","58,241.22","Legal Services for victims of domestic violence","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Foreclosure Mediation","Legal Aid Bureau Inc","21202","2017","552,250","Foreclosure Mediation","Grant","1","2017 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/Maryland Tourism Board","PRINCE GEORGES COUNTY CVB","20774","2013","152,279","Maryland Tourism Board-General Grant","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/MultiFamily Energy Efficiency and Housing Affordability Program","NFAHS","20852","2011","640,000","energy efficiency activities/products","Grant","1","2011 Jun 30 12:00:00 AM"
"Resource Conservation Operations","BALTIMORE COUNTY SOIL CONSERVATION","21030","2018","127,275","DISTRICT MANAGERS","Grant","1","2018 Jun 30 12:00:00 AM"
"Maryland Department of Education/FOOD SERVICES PROGRAM","BOARD OF CHILD CARE","21244","2014","66,432.63","CASH FOR COMMODITIES- CHILD CARE","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Agriculture/Resource Conservation Grants","COUNCELL AG SERVICES LLC","21625","2017","74,407.5","Cover Crop","Grant","1","2017 Jun 30 12:00:00 AM"
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Rape Crisis Intervention Service of Carroll County","21158","2016","19,970.97","Sexual Assault Services Program","Grant","1","2016 Jun 30 12:00:00 AM"
"Boards and Commissions - Governor's Office of Crime Control and Prevention","TurnAround, Inc. (Baltimore County)","21204","2015","30,811.2","Reimbursable funds from DHMH for SARC -  - Community Sexual Assault Prevention and Awareness","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Agriculture/CONSERVATION GRANTS","SWIFT FARMS INC","218382428","2016","62,409","COVER CROP","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Business & Economic Development/Maryland State Arts Council","Charles County Arts Alliance, Inc.","20695","2010","88,522","Grant funding for Community Arts Development, Arts Organizations","Grant","1","2010 Jun 30 12:00:00 AM"
"Department of Business and Economic Development/MD Small Business Development Financing Authority","HABAKKUK MUSIC & COLOMBO BANK","21201","2011","100,000","MSBDFA Equity Participation Loan Term Loan","Loan","1","2011 Jun 30 12:00:00 AM"
"Department of Commerce/MD State Arts Council","GLEN ECHO PARK PARTNERSHIP FOR ARTS & CULTURE INC","20812","2016","101,154","MD State Arts Council Grants for Organizations (Operating support)","Grant","1","2016 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention","CASA Citizens Assisting and Sheltering the Abused, Inc.","21740","2017","31,395","Maryland Victims of Crime","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Agriculture/CONSERVATION GRANTS","STEPHEN PIEPER","21161-9453","2012","64,157","COVER CROP","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Maryland Community Health Resources Commission","Ray of Hope, Inc.","21502","2013","55,000","DDA Infrastructure Services","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Family Health Services & Primary Care","Dimensions Healthcare Systems","20785","2012","15,000,000","Prince George's County Hospital","Grant","1","2012 Jun 30 12:00:00 AM"
"Maryland Department of Education/Food Services Program","PARADISE ADULT MEDICAL DAY CARE CENTER INC","21206","2012","2,833.28","CASH FOR COMMOD - CHILD CARE","Grant","1","2012 Jun 30 12:00:00 AM"
"MDP- Heritage Areas Authority","Heart of the Civil War Heritage Area, Inc.","21701","2018","71,250","FY2017 & FY2018 Maryland Heritage Areas Authority (MHAA) - Operating assistance to support staff salaries, operation costs, and general overhead expenses to implement the approved heritage areas management plan.  FY2016 & FY2018 Marketing -  FY2016 updating and printing 30,000 copies of the HCWHA brochure, a new online donation feature for the website, and a series of advertisements in print, broadcast, and online media that have proven to be effective in reaching audiences interested in Civil War events and sites and HCWHA products.  FY2018 to support digital marketing and media schedules (design, space, placement).","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Natural Resources/RURAL LEGACY","Worcester County","21863","2010","259,308","W B Blank Farm Easement","Grant","1","2010 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Prevention and Health Promotion Administration","Calvert Memorial Hospital","20678","2013","67,708","Dental Services","Grant","1","2013 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/Maryland State Arts Council","CULTURAL DATA PROJECT","19106-2533","2014","60,000","MD State Arts Council Grants for Organizations (Operating support)","Grant","1","2014 Jun 30 12:00:00 AM"
"Boards and Commissions/Prescription Drug Monitoring Program","Chesapeake Regional Information System for Our Patients, Inc.","21046","2014","364,448","Byrne - Justice Assistance Grant (JAG) Program","Grant","1","2014 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","Center for Children, Inc.","20646","2018","8,105.4","Title II Formula - Juvenile Justice Delinquency Prevention Formula Grant Program (JJAC)","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Business & Economic Development/Office of International Trade and Investment","World Trade Center Institute","21202","2010","139,808","Grant is to assist the grant recipient in promoting MD companies and promoting MD internationally and facilitating trade.","Grant","1","2010 Jun 30 12:00:00 AM"
"Department of Commerce/MD State Arts Council","CREATIVE ALLIANCE INC","21224","2016","167,898","MD State Arts Council - Folklife Grant","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Housing and Community Development - Housing Counseling - State Funds","St Ambrose Housing Aid Center","21218","2015","105,000","foreclosure/housing counseling activities","Grant","1","2015 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/Maryland Enterprise Investment/Challenge Programs  and Fund","LUMINAL INC","21701","2014","100,000","Challenge Investments","Grant","1","2014 Jun 30 12:00:00 AM"
"Military Department/MARYLAND MILITARY DEPT, MEMA","FRIENDSVILLE VF&R CO., INC","21531","2012","197,047.5","VOLUNTEER CO. ASSISTANCE PROGRAM","Loan","1","2012 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Maryland Community Health Resources Commission","Friends Aware Inc","21501","2012","50,000","DDA/Infrastructure Services","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Business and Economic Development/Maryland State Arts Council","Liz Lerman Dance Exchange","20912","2009","105,624","grant funding for organizations and Community Arts Development programs.","Grant","1","2009 Jun 30 12:00:00 AM"
"Department of Planning/MDP- Heritage Areas Authority","Friends of Patapsco Valley and Heritage Greenway, Inc.","21041","2016","91,250","FY2013 & FY 2016 Maryland Heritage Areas Authority  - Operating Assistance Grants- Operating assistance to support staff salaries, operation costs and general overhead expenses to implement the approved heritage area management plan.","Grant","1","2016 Jun 30 12:00:00 AM"
"Maryland Department of Transportation - Operating Grants-in-Aid","Metro Wash Council of Govts","20002 - 4290","2015","4,413,836.64","MPO requirements","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Prevention and Health Promotion Administration","Dimensions Healthcare Systems","20785","2013","15,000,000","Prince George's County Hospital","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Natural Resources/STATE LAND ACQUISITION","Eastern Shore Title Company","21601","2012","12,407.92","Christopher Property CREP Easement","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Business and Economic Development/Maryland State Arts Council","SALISBURY WICOMICO ARTS COUNCIL","21803","2011","83,715","Grants to Arts Organizations","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Planning/MDP - Maryland Heritage Areas Authority","Annapolis, London Town & South County Heritage Area, Inc.","21401","2013","100,000","Operating assistance to support staff salaries, operation costs and general overhead expenses to implement the approved heritage area management plan.","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Housing Counseling - State Funds","Pro Bono Resource Ctr of MD Inc","21201","2011","125,000","foreclosure/housing counseling activities","Grant","1","2011 Jun 30 12:00:00 AM"
"Community Solar","ESA-ESA Sparks Glenco Community Solar","32771","2018","224,000","Grants to subscriber organizations that develop Community Solar arrays with characteristics desirable to the Low to Moderate Income community.","Grant","1","2018 Jun 30 12:00:00 AM"
"Maryland Higher Education Commission/Aid to Non Public Institutions","College of Notre Dame of Maryland","21210","2010","1,258,074","Sellinger Formula","Grant","1","2010 Jun 30 12:00:00 AM"
"Boards and Commissions/Governor's Office of Crime Control and Prevention","Community Advocates for Family & Youth","20791-4419","2010","70,587","Youth Court Education","Grant","1","2010 Jun 30 12:00:00 AM"
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Maryland Crime Victims' Resource Center, Inc.","20774","2016","378,122.46","Victims of Crime Act","Grant","1","2016 Jun 30 12:00:00 AM"
"Maryland Department of Education/DORS - Headquarters","FREEDOM CENTER INC","21701","2012","37,116","COMPREHENSIVE SERV-INDEPEN LIV","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Business & Economic Development/MD Small Business Development Financing Authority","Thomas Jones Contractors, Inc.","20744","2010","200,000","Contract Finance Line of Credit of $200,000 max","Loan","1","2010 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","Life Crisis Center, Inc.","21803","2018","14,371.86","Survivors of Homicide Grant","Grant","1","2018 Jun 30 12:00:00 AM"
"Boards and Commissions/Governor's Office of Crime Control and Prevention","For All Seasons, Inc.","21601-3525","2011","10,000","Bi-Lingual Victim Advocate/Interpreter","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Maryland Community Health Resources Commission","Progress Unlimited Inc","21117","2012","50,000","DDA/Infrastructure Services","Grant","1","2012 Jun 30 12:00:00 AM"
"State Department of Education/Division of Early Childhood Development","MENTAL HEALTH ASSOCIATION OF FREDERICK COUNTY INC","21701","2016","148,500","Early Childhood Development","Grant","1","2016 Jun 30 12:00:00 AM"
"State Department of Education/Students with Disabilities","ADVOSERV PROGRAMS INC","19701","2016","234,904","Non Public Placements","Grant","1","2016 Jun 30 12:00:00 AM"
"Maryland Department of Education/FOOD SERVICES PROGRAM","FOUNDATIONS MEDICAL ADULT DAY CARE","21090","2013","3,830","CASH FOR COMMOD - CHILD CARE","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Housing Counseling - State Funds","Kairos Development Corp.","20748","2011","50,000","foreclosure/housing counseling activities","Grant","1","2011 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","Tahirih Justice Center","21201","2018","32,722.09","Service*Training*Officers*Prosecutors (STOP) Violence Against Women Formula Grant Program","Grant","1","2018 Jun 30 12:00:00 AM"
"Maryland Technology Development Corporation/Maryland Technology Transfer & Commercialization Fund","GlycoPure, Inc.","21613","2012","75,000","EE upgrades","Loan","1","2012 Jun 30 12:00:00 AM"
"Boards and Commissions/Governor's Office of Crime Control and Prevention","Office of the State's Attorneys' Coordinator","21043","2011","225,000","Office of the State's Attorney's Coordinator - Operations","Grant","1","2011 Jun 30 12:00:00 AM"
"Maryland Department of Education/Food Services Program","VESTA INC","20706-3125","2012","7,816.22","CASH FOR COMMOD - CHILD CARE","Grant","1","2012 Jun 30 12:00:00 AM"
"Boards and Commissions/Governor's Office of Crime Control and Prevention","Domestic Violence Center of Howard County, Inc.","21045-3296","2011","139,351.51","Sexual Assault and Domestic Violence Services","Grant","1","2011 Jun 30 12:00:00 AM"
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Women's Law Center of Maryland, Inc.","21204","2016","82,657.3","Victims of Crime Act","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Labor, Licensing & Regulation/Workforce Development","The Greater Baltimore Urban League","21201-1947","2010","167,718","National Urban League Incentive to Excel and Succeed (NULITES) provides a foundation that enhances and supports the academic and social development of youth.","Grant","1","2010 Jun 30 12:00:00 AM"
"Maryland State Department of Education - Transitional Education School Readiness","John Hopkins University","60693","2015","471,774","HOYER-GENERAL FUNDS","Grant","1","2015 Jun 30 12:00:00 AM"
"Maryland Department of Health/Maryland Community Health Resources Commission","Robert A. Pascal Youth & Family Services, Inc.","21146","2017","125,000","Expand access to health care in underserved communities","Grant","1","2017 Jun 30 12:00:00 AM"
"Judiciary/Department of Family Administration","CASA of Baltimore City","21203","2016","163,330","Advocacy for children in Foster Care","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Housing Counseling - State Funds","Asian-American  Homeownership Counseling Inc.","20852","2012","63,000","foreclosure/housing counseling activities","Grant","1","2012 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/MD State Arts Council  -","MD NATL CAPITAL PARKS & PLAN COMMISSIO","20770","2012","280,323","Grants for Art Organization","Grant","1","2012 Jun 30 12:00:00 AM"
"Maryland Department of Education/FOOD SERVICES PROGRAM","ZION'S CHRISTIAN ACADEMY","21224-6003","2014","66,447.39","CASH FOR COMMODITIES- CHILD CARE","Grant","1","2014 Jun 30 12:00:00 AM"
"Maryland State Department of Education - Local Management Boards","Results Leadership Group","20852","2015","52,050","LMB ADMINISTRATION","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Business & Economic Development/Maryland State Arts Council","Center Stage Associates, Inc.","21202","2010","484,792","Grant funding for Arts Organizations","Grant","1","2010 Jun 30 12:00:00 AM"
"Maryland Technology Development Corporation/MD Stem Cell Research Fund","Johns Hopkins University","21218","2011","7,959,835","Stem Cell Research Grant","Grant","1","2011 Jun 30 12:00:00 AM"
"Military Department/Maryland Emergency Management Agency (MEMA)","VIENNA VFC","21869","2017","83,840","Volunteer Company Assistance Fund","Grant","1","2017 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","Farming 4 Hunger, Inc.","20678","2018","61,976.16","Maryland Safe Streets","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Maryland Community Health Resources Commission","Humanim, Inc.","21046","2013","81,000","DDA Infrastructure Services","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Office of the Secretary","Md Center at Bowie State","20715","2013","101,675","Minority Outreach","Grant","1","2013 Jun 30 12:00:00 AM"
"Maryland Department of Education/FOOD SERVICES PROGRAM","RAINBOW GARDENS ADULT DAY HEALTH CARE CENTER LLC","21208","2014","367,691.29","CASH FOR COMMODITIES- CHILD CARE","Grant","1","2014 Jun 30 12:00:00 AM"
"Maryland Department of Education/Food Services Program","CECIL COMMUNITY COLLEGE FOUNDATION INC","21901","2012","48,086.62","FOOD SERVICE - CHILD CARE","Grant","1","2012 Jun 30 12:00:00 AM"
"MD STATE ARTS COUNCIL","Charles County Arts Alliance","20695","2018","130,063","MD State Arts Council Community Arts Development Grant","Grant","1","2018 Jun 30 12:00:00 AM"
"Maryland Energy Administration/CHP Resilience Grant Program","IBBR CHP Project","20850","2017","118,125","Energy Efficiency grants for audits/upgrades in commercial and industrial sector","Grant","1","2017 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/MD State Arts Council  -","NATL COUNCIL FOR THE TRADITIONAL ARTS","20910","2012","97,083","Grants for Art Organization","Grant","1","2012 Jun 30 12:00:00 AM"
"Boards and Commissions/Governor's Office of Crime Control and Prevention","Family & Children's Services of Central MD","21209-4914","2011","105,215","Abuse Counseling Center","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Agriculture - Conservation Grants","Philip A Foster & Sons","21673","2015","51,318","COVER CROP","Grant","1","2015 Jun 30 12:00:00 AM"
"Maryland Department of Education/Children's Cabinet Interagency Fund","CHOICES INC","46205","2012","939,398","DHMH/MHA 1915 PRTF WAIVER","Grant","1","2012 Jun 30 12:00:00 AM"
"Maryland Department of Aging/State Nutrition","Washington County Commission on Aging","21740","2017","75,637","Nutrition","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Agriculture/Maryland Agricultural Cost Share (Capital - Bonds)","DISHAROON, CRYSTAL","21849","2009","35,000","Install Best Mgmt Practice (BMP) on Farm","Grant","1","2009 Jun 30 12:00:00 AM"
